43873752	desert	Lac Iriki	No name	No name	"name":"Lac Iriki","natural":"desert","tourism":"attraction"
99057474	desert	No name	No name	No name	"note":"sand dunes visible on aerial imagery","desert":"erg","source":"Bing aerial imagery","natural":"desert"
123310467	desert	No name	No name	No name	"desert":"salt","natural":"desert"
125683117	desert	Witpan	No name	No name	"name":"Witpan","desert":"salt","natural":"desert"
138017579	desert	Erg Murzuq	No name	No name	"name":"Erg Murzuq","natural":"desert","surface":"sand"
138017580	desert	زلاف-اوباري zallaf-ubary	Erg Ubari	No name	"name":"زلاف-اوباري zallaf-ubary","name:en":"Erg Ubari","name:fr":"erg Oubari","natural":"desert"
150043017	desert	No name	No name	No name	"natural":"desert"
152961888	desert	No name	No name	No name	"note":"sand dunes visible on aerial imagery","desert":"erg","source":"Bing aerial imagery","natural":"desert"
177538376	desert	No name	No name	No name	"natural":"desert"
177863161	desert	No name	No name	No name	"natural":"desert"
177903534	desert	No name	No name	No name	"natural":"desert"
177967389	desert	No name	No name	No name	"natural":"desert"
177969369	desert	No name	No name	No name	"natural":"desert"
177976250	desert	No name	No name	No name	"natural":"desert"
177983432	desert	No name	No name	No name	"natural":"desert"
177983440	desert	No name	No name	No name	"natural":"desert"
178015045	desert	No name	No name	No name	"natural":"desert"
178015059	desert	No name	No name	No name	"natural":"desert"
178988409	desert	No name	No name	No name	"natural":"desert"
178988411	desert	No name	No name	No name	"natural":"desert"
178994672	desert	No name	No name	No name	"natural":"desert"
179000370	desert	No name	No name	No name	"natural":"desert"
179137335	desert	No name	No name	No name	"natural":"desert"
179139913	desert	No name	No name	No name	"natural":"desert"
179334166	desert	No name	No name	No name	"natural":"desert"
180121241	desert	No name	No name	No name	"natural":"desert"
180124027	desert	No name	No name	No name	"natural":"desert"
180124028	desert	No name	No name	No name	"natural":"desert"
180127481	desert	No name	No name	No name	"natural":"desert"
180131039	desert	No name	No name	No name	"natural":"desert"
180131040	desert	No name	No name	No name	"natural":"desert"
182384019	desert	No name	No name	No name	"natural":"desert"
182384385	desert	No name	No name	No name	"natural":"desert"
182565531	desert	No name	No name	No name	"natural":"desert"
182570723	desert	No name	No name	No name	"natural":"desert"
182570724	desert	No name	No name	No name	"natural":"desert"
182860749	desert	No name	No name	No name	"natural":"desert"
184158323	desert	No name	No name	No name	"natural":"desert"
184301173	desert	No name	No name	No name	"natural":"desert"
184311387	desert	Erg Amatlich	No name	No name	"name":"Erg Amatlich","desert":"erg","natural":"desert","tourism":"attraction"
190247423	desert	No name	No name	No name	"natural":"desert"
199171476	desert	No name	No name	No name	"natural":"desert"
199350241	desert	No name	No name	No name	"natural":"desert"
203910553	desert	No name	No name	No name	"natural":"desert"
204990734	desert	No name	No name	No name	"natural":"desert"
208672977	desert	No name	No name	No name	"natural":"desert"
208727772	desert	No name	No name	No name	"natural":"desert"
209292533	desert	No name	No name	No name	"natural":"desert"
211370921	desert	No name	No name	No name	"landuse":"farmland","natural":"desert"
211370948	desert	No name	No name	No name	"natural":"desert"
211370949	desert	No name	No name	No name	"natural":"desert"
227634167	desert	No name	No name	No name	"desert":"hammada","natural":"desert"
232206675	desert	No name	No name	No name	"natural":"desert"
232206676	desert	No name	No name	No name	"desert":"erg","natural":"desert"
232206677	desert	No name	No name	No name	"natural":"desert"
232227949	desert	Grand Erg Occidental	Grand Erg Occidental	No name	"name":"Grand Erg Occidental","source":"Bing","name:ar":"العرق الغربي الكبير","name:en":"Grand Erg Occidental","name:fr":"Grand Erg Occidental","natural":"desert","surface":"sand","wikipedia":"fr:Grand Erg Occidental"
232227950	desert	No name	No name	No name	"source":"Bing","natural":"desert","surface":"sand","wikipedia":"fr:Grand Erg Occidental"
233818093	desert	No name	No name	No name	"natural":"desert"
233818097	desert	No name	No name	No name	"natural":"desert"
233818103	desert	No name	No name	No name	"natural":"desert"
233820192	desert	No name	No name	No name	"natural":"desert"
233820193	desert	No name	No name	No name	"natural":"desert"
233820556	desert	No name	No name	No name	"natural":"desert"
234806010	desert	No name	No name	No name	"natural":"desert"
241570080	desert	Jebel Barkal	No name	No name	"name":"Jebel Barkal","natural":"desert","ref:whc":"1073-001","heritage":"1","historic":"archaeological_site","whc:criteria":"(i)(ii)(iii)(iv)(vi)","heritage:operator":"whc","whc:inscription_date":"2003"
244584311	desert	No name	No name	No name	"natural":"desert"
244584341	desert	No name	No name	No name	"natural":"desert"
244584370	desert	No name	No name	No name	"natural":"desert"
244585244	desert	No name	No name	No name	"natural":"desert"
247504830	desert	No name	No name	No name	"source":"bing2013","natural":"desert"
249396357	desert	No name	No name	No name	"natural":"desert"
257190268	desert	No name	No name	No name	"natural":"desert"
257354644	desert	Erg Bent Chaouli	No name	No name	"name":"Erg Bent Chaouli","desert":"erg","natural":"desert"
257354653	desert	Erg El Hadj Moussa	No name	No name	"name":"Erg El Hadj Moussa","desert":"erg","source":"Bing","natural":"desert"
257556076	desert	No name	No name	No name	"natural":"desert"
262746225	desert	No name	No name	No name	"natural":"desert"
272568820	desert	No name	No name	No name	"natural":"desert"
310438825	desert	No name	No name	No name	"natural":"desert","surface":"sand"
